year,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
2024,295,183,289,368,269,318,167,225,229,314,551,482,558,356,149,448,611,400,622,325
2026,244,165,206,310,205,203,160,174,165,286,473,431,411,226,107,384,533,348,530,285
2028,161,118,120,264,133,120,147,122,144,259,408,299,173,120,64,254,306,269,352,215
2030,130,90,87,230,98,80,132,85,60,242,336,239,77,88,47,179,222,241,277,181
2035,84,50,63,169,82,58,101,63,30,207,321,205,64,73,33,129,183,185,206,128
2040,53,29,56,151,64,36,102,40,0,191,293,158,44,50,23,91,120,141,151,95
2045,40,0,55,136,79,34,115,28,0,196,282,150,20,29,19,89,93,124,139,41
2050,43,0,51,155,100,28,115,23,0,206,268,158,22,25,24,108,35,115,131,17
