year,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
2024,327,208,294,287,349,287,367,334,307,417,436,449,394,354,402,502,430,373,367,378
2026,194,119,189,228,270,168,322,238,266,369,424,422,310,219,282,463,332,295,359,280
2028,130,63,73,174,224,101,276,150,175,308,419,372,214,98,178,404,247,246,367,212
2030,104,40,40,196,214,120,247,87,102,313,418,368,154,106,121,395,203,321,434,212
2035,149,42,70,244,230,153,229,82,31,333,434,376,144,143,148,368,241,412,486,212
2040,190,21,94,295,237,176,213,90,9,356,436,374,160,174,184,335,222,454,480,188
2045,190,8,84,340,262,180,194,84,0,358,433,345,157,188,198,269,193,405,447,142
2050,192,0,60,357,268,183,183,88,0,354,418,320,172,194,195,243,135,370,412,113
