year,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
2024,309,196,278,271,330,271,348,316,291,395,412,425,372,335,380,475,406,353,347,358
2026,183,112,179,216,256,159,305,225,252,349,401,399,293,207,267,438,314,279,339,264
2028,123,59,69,164,212,95,261,142,165,291,396,352,203,93,168,382,233,233,347,200
2030,98,38,38,185,202,113,234,82,96,296,396,348,146,100,114,373,192,304,411,200
2035,141,40,66,231,218,145,216,77,30,315,410,356,137,135,140,348,228,389,459,200
2040,180,20,89,279,224,167,201,85,9,337,413,354,151,165,174,317,210,429,454,178
2045,179,8,79,321,248,170,184,79,0,339,410,326,149,178,187,255,183,383,423,135
2050,182,0,56,338,253,173,173,83,0,335,395,302,162,184,185,230,128,350,389,107
