year,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
2024,284,176,278,354,259,306,161,217,221,303,531,465,538,343,144,432,589,386,600,313
2026,236,159,198,299,198,196,155,168,159,276,456,415,396,218,103,371,514,336,510,275
2028,155,114,116,255,129,115,142,117,139,249,394,289,167,116,62,245,295,260,339,207
2030,126,87,84,222,94,77,128,82,58,233,324,231,75,85,45,173,214,232,267,174
2035,81,48,61,163,79,56,97,61,29,200,309,198,62,70,32,124,177,178,199,124
2040,51,28,54,146,61,34,98,39,0,184,283,152,42,48,22,88,116,136,145,92
2045,38,0,53,131,76,32,111,27,0,189,272,145,19,28,19,86,89,119,134,39
2050,41,0,49,149,97,27,111,23,0,198,258,152,21,24,23,105,33,111,127,16
